invoice_no,vendor,date,amount,label
INV-6259,Beta Traders,2024-10-05,199.0,0
INV-6525,Beta Traders,2024-09-21,1035.0,0
INV-3646,Beta Traders,2025-07-20,1372.0,0
INV-7712,Delta Services,2024-10-19,474.0,0
INV-4018,Beta Traders,2025-05-31,12086.0,0
INV-8786,Gamma Co,2024-10-18,243.0,0
INV-8503,Delta Services,2025-01-09,213.0,0
INV-9137,Gamma Co,2024-11-06,425.0,0
INV-9284,Alpha Supplies,2025-01-08,932.0,0
INV-5349,Beta Traders,2025-05-23,1492.0,0
INV-6035,Delta Services,2025-07-15,843.0,0
INV-4523,Gamma Co,2025-02-05,5427.0,0
INV-8586,Omega Inc,2024-12-04,7306.0,0
INV-4196,Omega Inc,2025-02-08,242.0,0
INV-9266,Delta Services,2024-10-02,12215.0,0
INV-3484,Beta Traders,2025-01-27,81.0,0
INV-6322,Gamma Co,2025-07-03,11820.0,0
INV-5408,Omega Inc,2025-02-22,9029.0,0
INV-7507,Delta Services,2025-01-30,199.0,0
INV-7156,Delta Services,2025-06-30,132.0,0
INV-4230,Omega Inc,2024-09-29,95.0,0
INV-1836,Beta Traders,2024-11-17,476.0,0
INV-6141,Beta Traders,2025-03-04,106.0,0
INV-4002,Omega Inc,2025-07-18,8067.0,0
INV-7237,Gamma Co,2025-06-29,1250.0,0
INV-3675,Beta Traders,2024-10-14,569.0,0
INV-3634,Alpha Supplies,2025-04-28,542.0,0
INV-8447,Beta Traders,2024-09-30,73.0,0
INV-1005,Alpha Supplies,2024-09-29,11445.0,0
INV-2048,Delta Services,2025-03-25,7949.0,0
INV-9186,Omega Inc,2025-07-21,5048.0,1
INV-5341,Omega Inc,2025-01-28,5742.0,0
INV-1567,Omega Inc,2024-12-01,96.0,0
INV-7760,Beta Traders,2024-09-23,333.0,0
INV-2592,Beta Traders,2024-11-20,526.0,0
INV-9896,Omega Inc,2025-05-15,409.0,0
INV-7312,Delta Services,2024-10-23,5108.0,0
INV-9342,Omega Inc,2025-01-22,101.0,0
INV-1941,Gamma Co,2024-09-26,10728.0,0
INV-4688,Gamma Co,2025-04-25,103.0,0
INV-8557,Omega Inc,2025-03-13,447.0,0
INV-3278,Gamma Co,2025-01-04,1311.0,0
INV-3125,Alpha Supplies,2025-03-07,1141.0,0
INV-4750,Alpha Supplies,2025-05-20,10241.0,0
INV-5501,Alpha Supplies,2025-02-14,309.0,0
INV-3695,Omega Inc,2024-08-20,1267.0,0
INV-4264,Delta Services,2025-03-02,137.0,0
INV-1358,Delta Services,2024-12-26,564.0,0
INV-4674,Omega Inc,2024-10-01,214.0,0
INV-8011,Alpha Supplies,2025-07-26,120.0,0
INV-3888,Alpha Supplies,2025-02-19,10522.0,0
INV-9474,Alpha Supplies,2025-01-30,105.0,0
INV-8642,Omega Inc,2024-10-19,5118.0,0
INV-3803,Delta Services,2025-07-11,563.0,0
INV-4069,Alpha Supplies,2025-05-13,1300.0,0
INV-1944,Delta Services,2025-06-24,9657.0,0
INV-4747,Delta Services,2024-09-18,83.0,0
INV-6130,Gamma Co,2024-09-26,11150.0,1
INV-8817,Beta Traders,2025-01-13,5168.0,0
INV-1401,Gamma Co,2024-09-14,270.0,0
INV-8513,Beta Traders,2024-11-21,102.0,0
INV-3334,Gamma Co,2025-06-04,254.0,0
INV-7740,Omega Inc,2025-08-10,6044.0,0
INV-7678,Beta Traders,2025-06-18,1299.0,0
INV-5571,Gamma Co,2025-01-13,954.0,0
INV-9484,Beta Traders,2025-07-23,523.0,0
INV-8419,Omega Inc,2024-10-05,979.0,0
INV-6597,Delta Services,2025-02-16,828.0,0
INV-1748,Delta Services,2025-03-26,434.0,0
INV-9779,Omega Inc,2025-05-01,121.0,0
INV-3174,Alpha Supplies,2025-05-30,1278.0,0
INV-5732,Omega Inc,2025-05-18,9799.0,0
INV-6847,Beta Traders,2024-12-14,11355.0,0
INV-8622,Omega Inc,2025-06-21,5373.0,1
INV-8805,Alpha Supplies,2025-04-13,532.0,0
INV-6223,Omega Inc,2025-03-28,98.0,0
INV-2441,Beta Traders,2025-08-02,1385.0,0
INV-5805,Delta Services,2024-09-01,4633.0,0
INV-1724,Gamma Co,2025-08-04,6450.0,0
INV-7398,Delta Services,2024-12-10,102.0,0
INV-2473,Gamma Co,2024-12-13,10566.0,0
INV-4758,Alpha Supplies,2025-01-19,465.0,0
INV-9388,Gamma Co,2025-07-15,117.0,0
INV-1338,Delta Services,2025-06-13,949.0,0
INV-2598,Alpha Supplies,2025-03-04,3553.0,0
INV-9349,Omega Inc,2025-06-12,106.0,0
INV-1111,Delta Services,2025-01-08,4867.0,0
INV-6089,Delta Services,2025-04-11,5566.0,0
INV-9704,Omega Inc,2025-04-14,4385.0,0
INV-1909,Beta Traders,2025-02-23,84.0,0
INV-8259,Omega Inc,2025-04-19,10641.0,0
INV-7286,Omega Inc,2025-05-02,1202.0,0
INV-1691,Omega Inc,2025-03-20,6614.0,1
INV-3529,Delta Services,2024-09-17,3483.0,0
INV-2480,Omega Inc,2025-02-02,4706.0,1
INV-2833,Omega Inc,2025-02-09,572.0,0
INV-1589,Beta Traders,2025-05-19,344.0,0
INV-8196,Omega Inc,2024-12-19,1484.0,0
INV-4213,Beta Traders,2024-12-27,276.0,0
INV-9291,Delta Services,2024-09-30,527.0,0
INV-8645,Alpha Supplies,2025-03-19,4610.0,0
INV-1461,Delta Services,2024-12-13,962.0,0
INV-2337,Gamma Co,2025-06-10,5685.0,0
INV-7933,Alpha Supplies,2025-04-24,4114.0,0
INV-5702,Alpha Supplies,2025-05-04,1638.0,0
INV-6347,Beta Traders,2025-01-17,188.0,0
INV-5062,Gamma Co,2024-08-15,8716.0,0
INV-4144,Alpha Supplies,2025-06-15,96.0,0
INV-4053,Beta Traders,2025-08-01,98.0,0
INV-2550,Delta Services,2024-09-21,92.0,0
INV-3904,Gamma Co,2024-12-13,4476.0,0
INV-4174,Omega Inc,2025-06-12,5818.0,0
INV-6429,Gamma Co,2025-02-05,4875.0,1
INV-5756,Gamma Co,2025-06-10,1301.0,0
INV-9573,Gamma Co,2025-02-15,1279.0,0
INV-9071,Gamma Co,2025-06-23,196.0,0
INV-2859,Beta Traders,2024-09-27,538.0,0
INV-5958,Delta Services,2024-12-20,4213.0,1
INV-6437,Gamma Co,2025-07-06,12810.0,0
INV-2740,Delta Services,2025-02-02,5157.0,0
INV-1395,Delta Services,2024-08-30,1237.0,0
INV-7036,Gamma Co,2024-10-08,5733.0,0
INV-6065,Delta Services,2025-03-01,617.0,0
INV-8247,Delta Services,2025-05-28,9712.0,1
INV-5981,Omega Inc,2025-03-27,5234.0,0
INV-3702,Omega Inc,2025-02-24,114.0,0
INV-4493,Alpha Supplies,2025-07-04,1246.0,0
INV-3774,Gamma Co,2025-03-23,5377.0,0
INV-6927,Beta Traders,2024-08-12,100.0,1
INV-5694,Delta Services,2025-07-01,87.0,0
INV-9328,Omega Inc,2025-05-10,621.0,0
INV-4667,Omega Inc,2024-08-19,223.0,0
INV-2280,Gamma Co,2025-07-07,6239.0,0
INV-9559,Delta Services,2024-09-25,182.0,0
INV-3316,Delta Services,2025-01-04,99.0,0
INV-7342,Alpha Supplies,2024-09-10,472.0,0
INV-2160,Omega Inc,2024-08-28,56.0,0
INV-8707,Alpha Supplies,2024-10-24,256.0,0
INV-3390,Gamma Co,2025-07-29,96.0,0
INV-9320,Gamma Co,2024-10-01,1276.0,0
INV-4211,Gamma Co,2025-05-20,11288.0,0
INV-4687,Omega Inc,2024-08-10,110.0,0
INV-8322,Beta Traders,2024-11-29,1051.0,0
INV-7354,Delta Services,2024-11-03,212.0,0
INV-6442,Gamma Co,2025-01-23,116.0,0
INV-7899,Omega Inc,2024-11-22,4134.0,0
INV-3662,Beta Traders,2025-05-30,5486.0,0
INV-3617,Delta Services,2024-12-16,506.0,0
INV-5232,Delta Services,2025-01-22,4767.0,0
INV-7353,Delta Services,2025-04-04,516.0,0
INV-8070,Gamma Co,2024-12-14,99.0,0
INV-6200,Alpha Supplies,2025-07-15,5211.0,0
INV-8116,Beta Traders,2024-12-03,434.0,0
INV-6178,Beta Traders,2025-01-15,10778.0,0
INV-1893,Gamma Co,2025-02-17,240.0,0
INV-5603,Beta Traders,2025-03-06,5339.0,0
INV-6774,Beta Traders,2025-05-28,416.0,0
INV-9542,Beta Traders,2024-11-27,1055.0,0
INV-2964,Beta Traders,2024-11-02,8833.0,0
INV-9973,Omega Inc,2025-03-23,102.0,0
INV-7701,Omega Inc,2024-08-12,278.0,0
INV-4676,Gamma Co,2024-11-21,412.0,0
INV-1702,Gamma Co,2025-02-01,493.0,0
INV-3312,Beta Traders,2025-05-16,1134.0,0
INV-8707,Alpha Supplies,2025-07-27,498.0,0
INV-7068,Omega Inc,2025-08-01,4895.0,0
INV-1297,Delta Services,2024-08-20,4434.0,0
INV-6186,Delta Services,2024-12-27,10128.0,0
INV-6429,Omega Inc,2025-05-02,229.0,0
INV-8078,Alpha Supplies,2025-04-01,1058.0,0
INV-7505,Delta Services,2025-05-14,291.0,0
INV-8273,Alpha Supplies,2024-10-30,9499.0,1
INV-3492,Delta Services,2025-01-03,9000.0,0
INV-1844,Beta Traders,2025-08-06,883.0,0
INV-8695,Delta Services,2025-01-27,275.0,0
INV-9530,Beta Traders,2025-01-21,9465.0,0
INV-6020,Omega Inc,2025-04-22,108.0,0
INV-8896,Gamma Co,2025-03-17,210.0,0
INV-6533,Alpha Supplies,2025-03-29,274.0,0
INV-4549,Alpha Supplies,2025-05-20,4217.0,0
INV-6073,Delta Services,2025-07-08,1363.0,0
INV-6117,Gamma Co,2024-11-29,81.0,0
INV-8723,Alpha Supplies,2025-06-28,119.0,0
INV-1652,Delta Services,2024-10-09,550.0,0
INV-9832,Gamma Co,2025-03-10,9578.0,1
INV-2668,Delta Services,2024-12-31,4673.0,0
INV-2853,Alpha Supplies,2025-07-04,5107.0,0
INV-9132,Beta Traders,2024-11-12,1304.0,0
INV-2542,Delta Services,2024-10-11,85.0,0
INV-4177,Delta Services,2025-01-01,116.0,0
INV-7337,Alpha Supplies,2025-04-17,1231.0,0
INV-9638,Delta Services,2025-02-09,1208.0,0
INV-5567,Alpha Supplies,2024-10-13,9038.0,0
INV-2530,Delta Services,2025-01-01,280.0,0
INV-3997,Delta Services,2024-12-27,1468.0,0
INV-8582,Delta Services,2024-09-23,1200.0,1
INV-1295,Omega Inc,2025-01-04,4980.0,0
INV-3874,Beta Traders,2025-04-20,1202.0,0
INV-7982,Beta Traders,2025-01-13,548.0,0
INV-3317,Alpha Supplies,2025-03-29,117.0,0
INV-1621,Delta Services,2024-11-09,3941.0,0
INV-9553,Omega Inc,2025-07-23,7783.0,0
INV-5603,Delta Services,2025-04-16,155.0,0
INV-9816,Gamma Co,2024-10-26,10816.0,0
INV-3285,Omega Inc,2024-10-20,7865.0,0
INV-5495,Beta Traders,2025-07-16,3145.0,0
